route_id,start_location,destination,modes,distance_km,extra_distance_km,notes,transport_mode,co2_per_km,speed_km_h
1,New York City,Boston,Train,340,10,Fast and eco-friendly,,,
2,New York City,Boston,Bus+Metro,360,15,Low cost,,,
3,New York City,Boston,EV Car,350,20,Flexible,,,
4,New York City,Boston,Cycling+Train,355,25,Very eco-friendly,,,
5,Los Angeles,San Francisco,Train,600,25,Eco-friendly,,,
6,Los Angeles,San Francisco,Bus,620,30,Low cost,,,
7,Los Angeles,San Francisco,Cycling+Train,610,40,Very eco-friendly,,,
8,Los Angeles,San Francisco,EV Car+Metro,615,35,Flexible,,,
9,Chicago,Detroit,Train,450,15,Fast,,,
10,Chicago,Detroit,Bus,470,20,Low cost,,,
11,Chicago,Detroit,EV Car+Metro,460,25,Flexible,,,
12,Chicago,Detroit,Walking+Metro,465,30,Eco-friendly,,,
13,Mumbai,Delhi,Train,1400,50,Eco-friendly,,,
14,Mumbai,Delhi,Bus,1450,60,Low cost,,,
15,Mumbai,Delhi,Train+Metro,1420,55,Fast,,,
16,Mumbai,Delhi,EV Car,1430,65,Flexible,,,
17,London,Paris,Train,450,10,High-speed Eurostar,,,
18,London,Paris,Bus,470,20,Low cost,,,
19,London,Paris,Train+Cycling,460,15,Eco-friendly,,,
20,London,Paris,Flight,450,5,Fast but high emissions,,,
21,Tokyo,Osaka,Train,550,10,Shinkansen fast,,,
22,Tokyo,Osaka,Bus,570,20,Low cost,,,
23,Tokyo,Osaka,Train+Metro,560,15,Eco-friendly,,,
24,Tokyo,Osaka,Flight,550,5,Fast but high emissions,,,
25,Sydney,Melbourne,Train,900,30,Eco-friendly,,,
26,Sydney,Melbourne,Bus,920,40,Low cost,,,
27,Sydney,Melbourne,EV Car,910,35,Flexible,,,
28,Sydney,Melbourne,Flight,900,10,Fast but high emissions,,,
29,Berlin,Munich,Train,580,20,Fast,,,
30,Berlin,Munich,Bus,600,25,Low cost,,,
31,Berlin,Munich,Train+Cycling,590,30,Eco-friendly,,,
32,Berlin,Munich,EV Car,595,28,Flexible,,,
33,Toronto,Montreal,Train,540,15,Fast,,,
34,Toronto,Montreal,Bus,560,20,Low cost,,,
35,Toronto,Montreal,EV Car+Metro,550,25,Flexible,,,
36,Toronto,Montreal,Cycling+Train,555,30,Very eco-friendly,,,
37,Seattle,Portland,Train,230,10,Eco-friendly,,,
38,Seattle,Portland,Bus,240,15,Low cost,,,
39,Seattle,Portland,Cycling+Train,235,20,Very eco-friendly,,,
40,Seattle,Portland,EV Car,238,18,Flexible,,,
41,Miami,Orlando,Train,380,12,Fast,,,
42,Miami,Orlando,Bus,400,20,Low cost,,,
43,Miami,Orlando,EV Car,390,15,Flexible,,,
44,Paris,Amsterdam,Train,430,10,Fast and eco-friendly,,,
45,Paris,Amsterdam,Bus,450,15,Low cost,,,
46,Paris,Amsterdam,Train+Cycling,440,12,Eco-friendly,,,
47,Beijing,Shanghai,Train,1200,40,High-speed,,,
48,Beijing,Shanghai,Bus,1250,50,Low cost,,,
49,Beijing,Shanghai,Flight,1200,10,Fast but high emissions,,,
50,Dubai,Abu Dhabi,Bus,140,5,Low cost,,,
51,Dubai,Abu Dhabi,EV Car,135,8,Flexible,,,
52,Dubai,Abu Dhabi,Metro,130,6,Eco-friendly,,,
,,,Train,0,0,50 km/h speed,Train,0.05,50
,,,Bus,0,0,40 km/h speed,Bus,0.12,40
,,,EV Car,0,0,60 km/h speed,EV Car,0.04,60
,,,Cycling,0,0,15 km/h speed,Cycling,0,15
,,,Walking,0,0,5 km/h speed,Walking,0,5
,,,Metro,0,0,30 km/h speed,Metro,0.03,30
,,,Flight,0,0,800 km/h speed,Flight,0.25,800